A(410),B(435),C(460),D(485),E(510),F(535),G(560),H(585),R(610),I(645),S(680),J(705),U(760),V(810),W(860),K(900),L(940),T(730),pH,EC  (dS/m),OC (%),P   (kg/ha),K (kg/ha),Ca (meq/100g),Mg (meq/100g),S (ppm),Fe (ppm),Mn (ppm),Cu (ppm),Zn (ppm),B (ppm)
2850.27,1032.27,2887.1,685.59,896.71,1426.98,376.22,382.14,1009.15,196.71,251.49,56.76,54.8,176.52,208.37,86.18,39.26,67.41,8.16,0.25,1.05,21.9,147.84,6.5,6,30.63,9.18,8.47,1.56,2.04,0.99
1813.73,1073.12,2194.44,767.83,880.16,1182.91,421.37,427.82,1452.82,221.69,353.11,69.89,77.36,221.29,322.12,86.75,49.3,84.43,6.99,0.04,0.09,39.77,320.32,4,3.7,8.28,3.51,4.76,0.39,0.42,0.85
2066.15,1039.24,2935.87,796.47,953.55,1828.28,367.63,385.3,1135.58,205.18,228.91,58.88,58.83,198.91,192.8,95.27,47.47,71.71,6.71,0.28,1.095,13.31,300,4.4,3.2,6.9,18.3,21.44,2.51,1.54,0.36
3276.17,1314.98,2845.11,945.18,1093.22,2041.22,504.11,514.87,1481.22,272.22,362.11,85.12,86.12,263.14,314.22,111.22,55,91.11,5.09,0.05,1.152,16.64,204,1.8,1,6.9,57.32,76.3,1.63,0.64,0.51
2156.98,1132.98,2781,900.11,1077.14,2023.12,430.11,431.18,1480.11,30.11,356.77,80.17,81.12,255.11,276.88,102.33,52.99,87.11,8.69,0.31,1.362,9.46,264,17.1,7,17.24,8.2,13.45,1.07,0.29,0.43
2028.88,1052.34,2456.11,772.19,882.19,1799.22,432.11,444.99,1334.98,243.88,331.8,78.66,77.19,243.88,312.11,100.77,56.11,82.13,8.53,0.19,0.42,8.75,450,20.5,11.8,20.51,3.07,2.29,1.47,1.48,0.43
2477.29,1151.84,3420.53,887.02,1184.83,1867.21,431.58,446.41,1411.87,231.5,340.79,69.46,72.53,240.24,290.59,117.37,50.21,89.33,8.09,0.17,0.51,36.26,470.4,7.8,4.3,24.45,2.22,2.34,1.24,1.23,0.6
2754.12,1221.89,3020.87,912.87,1090.21,2086.11,483.21,510.12,1445.98,256.17,356.12,80.19,80.11,252.19,317.87,114.12,56.87,91.88,8.46,0.25,0.63,15,586.8,43.5,3,18.14,3.2,3.51,1.97,0.64,0.68
2392.28,1196.67,2497.97,848.21,931.46,1772.13,426.74,438.88,1380.25,229.27,317.18,69.89,70.92,231.63,289.46,94.12,51.13,79.53,8.55,1.17,0.96,6.25,777,26.3,16.8,30.76,5.14,5.28,2.92,1.02,0.77
2026.24,1293.33,3540.95,971.1,1172.2,2237.8,492.31,509.68,1466.89,267.19,354.14,76.24,75.75,245.4,291.72,117.37,54.78,85.59,6.93,0.09,0.63,30.95,334.8,8.5,2.8,9.47,10.47,10.1,1.38,0.67,0.48
2031.96,1231.86,3542.81,955.45,1181.25,2241.63,512.96,511.96,1472.96,271.96,361.45,81.96,76.56,251.96,312.56,110.96,51.96,95,8.47,0.18,0.48,7.88,771.6,53,5,15.35,4.81,1.27,2.57,1.76,0.81
2038.38,1082.09,2782.6,860.22,1046.69,2046.85,454.23,463.99,1468.06,239.43,358.24,71.16,75.75,243.68,298.47,99.79,50.21,84.07,8.02,2.23,0.24,45.37,279.91,14.5,5,26.49,27.39,4.18,0.67,1.91,0.81
2181.5,1110.98,2613.42,859.3,1041.17,2034.91,456.3,464.99,1473.91,241.32,360.3,72.56,76.56,242.82,301.85,95.82,49.3,84.83,8.72,0.15,0.6,14.19,231.23,8.7,3.5,19.04,2.92,4.65,0.47,0.85,0.49
2261.3,1001.38,3147.83,823.26,1107.47,1893.41,449.32,461.48,1448.16,237.3,356.19,69.89,74.14,249.71,307.48,112.27,50.21,88.62,8.78,0.23,0.57,57.46,438.12,30.7,3,24.83,4.23,12.64,0.65,0.44,0.24
2098.23,1235.53,2688.06,893.49,1060.9,1964.54,411.16,399.71,1322.89,203.85,353.11,64.81,74.95,233.35,308.61,91.85,46.56,81.8,8.61,0.24,1.05,14.89,766.2,24,4,19.62,1.99,8.52,4.41,3.56,0.93
2834.65,1223.58,3337.93,910.12,1129.58,2001.97,468.13,475.04,1470.4,243.99,362.35,72.85,75.75,254.87,314.24,108.86,50.21,87.86,9.01,0.15,0.36,4.91,396,40,7.3,11.09,7.01,2.09,1.79,0.43,0.73
2190.18,1042.23,2995.58,732.71,927.5,1910.63,464.37,466.5,1382.6,232.84,355.16,70.74,73.33,254.87,318.75,108.3,50.21,82.56,7,0.12,0.45,14.01,654.48,11.7,4.3,24.74,15.36,18.4,3.31,1.3,0.6
2098.23,1235.53,2688.06,893.49,1060.9,1964.54,411.16,399.71,1322.89,203.85,353.11,64.81,74.95,233.35,308.61,91.85,46.56,81.8,6.03,0.09,0.78,4.38,206.04,5.8,1.4,3.41,81.94,20.24,4.19,1.82,0.55
2348.66,921.67,2785,775.22,982.75,1876.94,426.21,430.85,1350.99,218.12,292.55,64.81,67.69,236.79,272.57,103.19,46.56,78.01,6.06,0.11,0.27,13.84,266.64,5.9,2.3,14.5,40.21,24.58,3.54,0.66,0.95
1987.21,736.34,1883.93,428.73,717.53,945.58,244.01,244.55,579.5,124.9,142.68,34.73,37.88,114.52,125.02,60.1,27.39,50.75,8.2,0.23,0.84,26.8,219.06,5.3,3,27.32,19.4,3.47,2.44,0.5,0.32
2387.94,791.14,2244.2,510.96,782.26,1128.26,278.41,289.24,695.91,147.2,152.95,42.78,39.49,130.88,126.15,74.28,32.87,55.29,7.67,0.04,0.93,26.1,450.29,3.2,1.6,9.93,37.94,10.6,1.46,0.64,1.17
3276.17,1314.98,2845.11,945.18,1093.22,2041.22,504.11,514.87,1481.22,272.22,362.11,85.12,86.12,263.14,314.22,111.22,55,91.11,5.36,0.06,0.78,19.8,316.42,1.5,0.8,19.04,41.24,22.12,6.28,0.49,0.67
2501.57,728.37,2289.98,556.23,797.25,1235.32,350.96,354.02,916.66,178.42,178.61,52.52,44.32,157.57,148.67,82.78,36.52,61.35,5.04,0.05,0.27,4.91,97.36,0.9,0.7,8.28,13.26,13.39,7.07,0.64,0.51
2374.07,989.42,2382.53,567,918.03,1189.65,320.86,317.86,821.83,160.14,172.45,49.13,45.93,145.52,165.57,76.55,34.69,64.38,4.93,0.06,0.78,27.15,304.25,2.1,1.4,17.38,39.19,24.58,1.24,0.13,0.45
1037.41,590.886,2187.47,445.36,765.68,1087.08,280.02,268.65,655.59,128.91,141.65,40.24,37.88,122.27,126.15,67.47,27.39,52.26,8.2,0.59,0.87,8.75,346.2,15.8,8.5,4.73,0.99,6.8,2,1.78,0.05
1881.36,877.83,1973.5,546.07,841.46,994.25,361.71,362.05,934.22,181.1,199.14,53.79,52.38,152.41,201.61,73.14,37.43,68.93,8.54,0.12,0.36,10.34,506.4,,25.8,14.6,4.16,3.25,1.28,0.27,0.73
2247.43,833.99,2195.43,523.9,786.99,1074.36,324.63,324.89,855.78,161.47,200.16,48.29,49.96,156.71,190.35,77.11,34.69,66.65,7.68,0.32,0.6,31.71,582,,15,8.6,6.27,5.39,1.27,0.73,0.26
2374.07,989.42,2382.53,567,918.03,1189.65,320.86,317.36,820.66,159.69,163.21,49.13,45.93,142.94,165.57,76.55,34.69,64.38,8.27,0.16,0.36,8.58,396,,4,1.9,1.18,1.4,1,0.75,0.37
2318.55,821.03,2096.9,507.26,781.47,1070.61,306.35,298.28,742.23,150.77,165.26,46.59,45.13,142.94,161.06,74.84,33.78,62.11,9.41,0.42,0.21,8.75,718.2,33.5,14.3,11.04,3.7,16.56,2.09,1.48,0.63
3289.17,1234.54,3234.43,873.16,1112.21,1742.18,486.4,491.61,1450.5,254.7,353.11,76.67,74.95,243.68,324.38,119.64,55.69,89.38,8.54,0.07,0.36,19.38,217.8,6.8,5.8,48.11,1.84,7.29,1.82,1.31,0.15
,,,,,,,,,,,,,,,,,,5.6,0.09,0.69,22.42,197.12,5.81,1.63,7.45,41.17,48.71,2.47,2.65,0.97
